school,roomName,seatName,devSn
大学城校区,101自修室,101-008,101266691
大学城校区,101自修室,101-016,101266699
大学城校区,101自修室,101-024,101266707
大学城校区,101自修室,101-032,101266715
大学城校区,101自修室,101-040,101266723
大学城校区,101自修室,101-048,101266731
大学城校区,101自修室,101-056,101266739
大学城校区,101自修室,101-064,101266747
大学城校区,101自修室,101-072,101266755
大学城校区,101自修室,101-080,101266763
大学城校区,101自修室,101-088,101266771
大学城校区,101自修室,101-096,101266779
大学城校区,101自修室,101-104,101266787
大学城校区,101自修室,101-112,101266795
大学城校区,101自修室,101-120,101266803
大学城校区,101自修室,101-128,101266811
大学城校区,101自修室,101-136,101266819
大学城校区,101自修室,101-144,101266827
大学城校区,101自修室,101-152,101266835
大学城校区,101自修室,101-160,101266843
大学城校区,101自修室,101-168,101266851
大学城校区,101自修室,101-176,101266859
大学城校区,101自修室,101-184,101266867
大学城校区,101自修室,101-192,101266875
大学城校区,101自修室,101-200,101266883
大学城校区,101自修室,101-208,101266891
大学城校区,101自修室,101-216,101266899
大学城校区,101自修室,101-224,101266907
大学城校区,101自修室,101-232,101266915
大学城校区,101自修室,101-240,101266923
大学城校区,101自修室,101-248,101266931
大学城校区,101自修室,101-256,101266939
大学城校区,101自修室,101-264,101266947
大学城校区,101自修室,101-272,101266955
大学城校区,101自修室,101-280,101266963
大学城校区,101自修室,101-288,101266971
大学城校区,101自修室,101-296,101266979
大学城校区,101自修室,101-304,101266987
大学城校区,101自修室,101-312,101266995
大学城校区,101自修室,101-320,101267003
大学城校区,101自修室,101-328,101267011
大学城校区,101自修室,101-336,101267019
大学城校区,101自修室,101-344,101267027
大学城校区,101自修室,101-352,101267035
大学城校区,101自修室,101-360,101267043
大学城校区,101自修室,101-001,101266684
大学城校区,101自修室,101-009,101266692
大学城校区,101自修室,101-017,101266700
大学城校区,101自修室,101-025,101266708
大学城校区,101自修室,101-033,101266716
大学城校区,101自修室,101-041,101266724
大学城校区,101自修室,101-049,101266732
大学城校区,101自修室,101-057,101266740
大学城校区,101自修室,101-065,101266748
大学城校区,101自修室,101-073,101266756
大学城校区,101自修室,101-081,101266764
大学城校区,101自修室,101-089,101266772
大学城校区,101自修室,101-097,101266780
大学城校区,101自修室,101-105,101266788
大学城校区,101自修室,101-113,101266796
大学城校区,101自修室,101-121,101266804
大学城校区,101自修室,101-129,101266812
大学城校区,101自修室,101-137,101266820
大学城校区,101自修室,101-145,101266828
大学城校区,101自修室,101-153,101266836
大学城校区,101自修室,101-161,101266844
大学城校区,101自修室,101-169,101266852
大学城校区,101自修室,101-177,101266860
大学城校区,101自修室,101-185,101266868
大学城校区,101自修室,101-193,101266876
大学城校区,101自修室,101-201,101266884
大学城校区,101自修室,101-209,101266892
大学城校区,101自修室,101-217,101266900
大学城校区,101自修室,101-225,101266908
大学城校区,101自修室,101-233,101266916
大学城校区,101自修室,101-241,101266924
大学城校区,101自修室,101-249,101266932
大学城校区,101自修室,101-257,101266940
大学城校区,101自修室,101-265,101266948
