school,roomName,seatName,devSn
大学城校区,103休闲阅览区,103-008,101267051
大学城校区,103休闲阅览区,103-016,101267059
大学城校区,103休闲阅览区,103-024,101267067
大学城校区,103休闲阅览区,103-032,101267075
大学城校区,103休闲阅览区,103-040,101267083
大学城校区,103休闲阅览区,103-048,101267091
大学城校区,103休闲阅览区,103-056,101267099
大学城校区,103休闲阅览区,103-064,101267107
大学城校区,103休闲阅览区,103-072,101267115
大学城校区,103休闲阅览区,103-080,101267123
大学城校区,103休闲阅览区,103-088,101267131
大学城校区,103休闲阅览区,103-096,101267139
大学城校区,103休闲阅览区,103-104,101267147
大学城校区,103休闲阅览区,103-001,101267044
大学城校区,103休闲阅览区,103-009,101267052
大学城校区,103休闲阅览区,103-017,101267060
大学城校区,103休闲阅览区,103-025,101267068
大学城校区,103休闲阅览区,103-033,101267076
大学城校区,103休闲阅览区,103-041,101267084
大学城校区,103休闲阅览区,103-049,101267092
大学城校区,103休闲阅览区,103-057,101267100
大学城校区,103休闲阅览区,103-065,101267108
大学城校区,103休闲阅览区,103-073,101267116
大学城校区,103休闲阅览区,103-081,101267124
大学城校区,103休闲阅览区,103-089,101267132
大学城校区,103休闲阅览区,103-097,101267140
大学城校区,103休闲阅览区,103-105,101267148
大学城校区,103休闲阅览区,103-002,101267045
大学城校区,103休闲阅览区,103-010,101267053
大学城校区,103休闲阅览区,103-018,101267061
大学城校区,103休闲阅览区,103-026,101267069
大学城校区,103休闲阅览区,103-034,101267077
大学城校区,103休闲阅览区,103-042,101267085
大学城校区,103休闲阅览区,103-050,101267093
大学城校区,103休闲阅览区,103-058,101267101
大学城校区,103休闲阅览区,103-066,101267109
大学城校区,103休闲阅览区,103-074,101267117
大学城校区,103休闲阅览区,103-082,101267125
大学城校区,103休闲阅览区,103-090,101267133
大学城校区,103休闲阅览区,103-098,101267141
大学城校区,103休闲阅览区,103-106,101267149
大学城校区,103休闲阅览区,103-003,101267046
大学城校区,103休闲阅览区,103-011,101267054
大学城校区,103休闲阅览区,103-019,101267062
大学城校区,103休闲阅览区,103-027,101267070
大学城校区,103休闲阅览区,103-035,101267078
大学城校区,103休闲阅览区,103-043,101267086
大学城校区,103休闲阅览区,103-051,101267094
大学城校区,103休闲阅览区,103-059,101267102
大学城校区,103休闲阅览区,103-067,101267110
大学城校区,103休闲阅览区,103-075,101267118
大学城校区,103休闲阅览区,103-083,101267126
大学城校区,103休闲阅览区,103-091,101267134
大学城校区,103休闲阅览区,103-099,101267142
大学城校区,103休闲阅览区,103-107,101267150
大学城校区,103休闲阅览区,103-004,101267047
大学城校区,103休闲阅览区,103-012,101267055
大学城校区,103休闲阅览区,103-020,101267063
大学城校区,103休闲阅览区,103-028,101267071
大学城校区,103休闲阅览区,103-036,101267079
大学城校区,103休闲阅览区,103-044,101267087
大学城校区,103休闲阅览区,103-052,101267095
大学城校区,103休闲阅览区,103-060,101267103
大学城校区,103休闲阅览区,103-068,101267111
大学城校区,103休闲阅览区,103-076,101267119
大学城校区,103休闲阅览区,103-084,101267127
大学城校区,103休闲阅览区,103-092,101267135
大学城校区,103休闲阅览区,103-100,101267143
大学城校区,103休闲阅览区,103-108,101267151
大学城校区,103休闲阅览区,103-005,101267048
大学城校区,103休闲阅览区,103-013,101267056
大学城校区,103休闲阅览区,103-021,101267064
大学城校区,103休闲阅览区,103-029,101267072
大学城校区,103休闲阅览区,103-037,101267080
大学城校区,103休闲阅览区,103-045,101267088
大学城校区,103休闲阅览区,103-053,101267096
大学城校区,103休闲阅览区,103-061,101267104
大学城校区,103休闲阅览区,103-069,101267112
大学城校区,103休闲阅览区,103-077,101267120
大学城校区,103休闲阅览区,103-085,101267128
大学城校区,103休闲阅览区,103-093,101267136
大学城校区,103休闲阅览区,103-101,101267144
大学城校区,103休闲阅览区,103-109,101267152
大学城校区,103休闲阅览区,103-006,101267049
大学城校区,103休闲阅览区,103-014,101267057
大学城校区,103休闲阅览区,103-022,101267065
大学城校区,103休闲阅览区,103-030,101267073
大学城校区,103休闲阅览区,103-038,101267081
大学城校区,103休闲阅览区,103-046,101267089
大学城校区,103休闲阅览区,103-054,101267097
大学城校区,103休闲阅览区,103-062,101267105
大学城校区,103休闲阅览区,103-070,101267113
大学城校区,103休闲阅览区,103-078,101267121
大学城校区,103休闲阅览区,103-086,101267129
大学城校区,103休闲阅览区,103-094,101267137
大学城校区,103休闲阅览区,103-102,101267145
大学城校区,103休闲阅览区,103-110,101267153
大学城校区,103休闲阅览区,103-007,101267050
大学城校区,103休闲阅览区,103-015,101267058
大学城校区,103休闲阅览区,103-023,101267066
大学城校区,103休闲阅览区,103-031,101267074
大学城校区,103休闲阅览区,103-039,101267082
大学城校区,103休闲阅览区,103-047,101267090
大学城校区,103休闲阅览区,103-055,101267098
大学城校区,103休闲阅览区,103-063,101267106
大学城校区,103休闲阅览区,103-071,101267114
大学城校区,103休闲阅览区,103-079,101267122
大学城校区,103休闲阅览区,103-087,101267130
大学城校区,103休闲阅览区,103-095,101267138
大学城校区,103休闲阅览区,103-103,101267146
