school,roomName,seatName,devSn
大学城校区,2楼北面（C区）,2C-008,101267161
大学城校区,2楼北面（C区）,2C-016,101267169
大学城校区,2楼北面（C区）,2C-024,101267177
大学城校区,2楼北面（C区）,2C-032,101267185
大学城校区,2楼北面（C区）,2C-040,101267193
大学城校区,2楼北面（C区）,2C-048,101267201
大学城校区,2楼北面（C区）,2C-056,101267209
大学城校区,2楼北面（C区）,2C-064,101267217
大学城校区,2楼北面（C区）,2C-072,101267225
大学城校区,2楼北面（C区）,2C-080,101267233
大学城校区,2楼北面（C区）,2C-001,101267154
大学城校区,2楼北面（C区）,2C-009,101267162
大学城校区,2楼北面（C区）,2C-017,101267170
大学城校区,2楼北面（C区）,2C-025,101267178
大学城校区,2楼北面（C区）,2C-033,101267186
大学城校区,2楼北面（C区）,2C-041,101267194
大学城校区,2楼北面（C区）,2C-049,101267202
大学城校区,2楼北面（C区）,2C-057,101267210
大学城校区,2楼北面（C区）,2C-065,101267218
大学城校区,2楼北面（C区）,2C-073,101267226
大学城校区,2楼北面（C区）,2C-002,101267155
大学城校区,2楼北面（C区）,2C-010,101267163
大学城校区,2楼北面（C区）,2C-018,101267171
大学城校区,2楼北面（C区）,2C-026,101267179
大学城校区,2楼北面（C区）,2C-034,101267187
大学城校区,2楼北面（C区）,2C-042,101267195
大学城校区,2楼北面（C区）,2C-050,101267203
大学城校区,2楼北面（C区）,2C-058,101267211
大学城校区,2楼北面（C区）,2C-066,101267219
大学城校区,2楼北面（C区）,2C-074,101267227
大学城校区,2楼北面（C区）,2C-003,101267156
大学城校区,2楼北面（C区）,2C-011,101267164
大学城校区,2楼北面（C区）,2C-019,101267172
大学城校区,2楼北面（C区）,2C-027,101267180
大学城校区,2楼北面（C区）,2C-035,101267188
大学城校区,2楼北面（C区）,2C-043,101267196
大学城校区,2楼北面（C区）,2C-051,101267204
大学城校区,2楼北面（C区）,2C-059,101267212
大学城校区,2楼北面（C区）,2C-067,101267220
大学城校区,2楼北面（C区）,2C-075,101267228
大学城校区,2楼北面（C区）,2C-004,101267157
大学城校区,2楼北面（C区）,2C-012,101267165
大学城校区,2楼北面（C区）,2C-020,101267173
大学城校区,2楼北面（C区）,2C-028,101267181
大学城校区,2楼北面（C区）,2C-036,101267189
大学城校区,2楼北面（C区）,2C-044,101267197
大学城校区,2楼北面（C区）,2C-052,101267205
大学城校区,2楼北面（C区）,2C-060,101267213
大学城校区,2楼北面（C区）,2C-068,101267221
大学城校区,2楼北面（C区）,2C-076,101267229
大学城校区,2楼北面（C区）,2C-005,101267158
大学城校区,2楼北面（C区）,2C-013,101267166
大学城校区,2楼北面（C区）,2C-021,101267174
大学城校区,2楼北面（C区）,2C-029,101267182
大学城校区,2楼北面（C区）,2C-037,101267190
大学城校区,2楼北面（C区）,2C-045,101267198
大学城校区,2楼北面（C区）,2C-053,101267206
大学城校区,2楼北面（C区）,2C-061,101267214
大学城校区,2楼北面（C区）,2C-069,101267222
大学城校区,2楼北面（C区）,2C-077,101267230
大学城校区,2楼北面（C区）,2C-006,101267159
大学城校区,2楼北面（C区）,2C-014,101267167
大学城校区,2楼北面（C区）,2C-022,101267175
大学城校区,2楼北面（C区）,2C-030,101267183
大学城校区,2楼北面（C区）,2C-038,101267191
大学城校区,2楼北面（C区）,2C-046,101267199
大学城校区,2楼北面（C区）,2C-054,101267207
大学城校区,2楼北面（C区）,2C-062,101267215
大学城校区,2楼北面（C区）,2C-070,101267223
大学城校区,2楼北面（C区）,2C-078,101267231
大学城校区,2楼北面（C区）,2C-007,101267160
大学城校区,2楼北面（C区）,2C-015,101267168
大学城校区,2楼北面（C区）,2C-023,101267176
大学城校区,2楼北面（C区）,2C-031,101267184
大学城校区,2楼北面（C区）,2C-039,101267192
大学城校区,2楼北面（C区）,2C-047,101267200
大学城校区,2楼北面（C区）,2C-055,101267208
大学城校区,2楼北面（C区）,2C-063,101267216
大学城校区,2楼北面（C区）,2C-071,101267224
大学城校区,2楼北面（C区）,2C-079,101267232
