school,roomName,seatName,devSn
大学城校区,417书库,417-064,101268050
大学城校区,417书库,417-072,101268058
大学城校区,417书库,417-065,101268051
大学城校区,417书库,417-073,101268059
大学城校区,417书库,417-066,101268052
大学城校区,417书库,417-074,101268060
大学城校区,417书库,417-067,101268053
大学城校区,417书库,417-075,101268061
大学城校区,417书库,417-068,101268054
大学城校区,417书库,417-076,101268062
大学城校区,417书库,417-061,101268047
大学城校区,417书库,417-069,101268055
大学城校区,417书库,417-062,101268048
大学城校区,417书库,417-070,101268056
大学城校区,417书库,417-063,101268049
大学城校区,417书库,417-071,101268057
大学城校区,417书库,417-008,100587730
大学城校区,417书库,417-016,100587738
大学城校区,417书库,417-024,100587746
大学城校区,417书库,417-032,100587754
大学城校区,417书库,417-040,100587762
大学城校区,417书库,417-048,100587770
大学城校区,417书库,417-056,100587778
大学城校区,417书库,417-001,100587723
大学城校区,417书库,417-009,100587731
大学城校区,417书库,417-017,100587739
大学城校区,417书库,417-025,100587747
大学城校区,417书库,417-033,100587755
大学城校区,417书库,417-041,100587763
大学城校区,417书库,417-049,100587771
大学城校区,417书库,417-057,100587779
大学城校区,417书库,417-002,100587724
大学城校区,417书库,417-010,100587732
大学城校区,417书库,417-018,100587740
大学城校区,417书库,417-026,100587748
大学城校区,417书库,417-034,100587756
大学城校区,417书库,417-042,100587764
大学城校区,417书库,417-050,100587772
大学城校区,417书库,417-058,100587780
大学城校区,417书库,417-003,100587725
大学城校区,417书库,417-011,100587733
大学城校区,417书库,417-019,100587741
大学城校区,417书库,417-027,100587749
大学城校区,417书库,417-035,100587757
大学城校区,417书库,417-043,100587765
大学城校区,417书库,417-051,100587773
大学城校区,417书库,417-059,100587781
大学城校区,417书库,417-004,100587726
大学城校区,417书库,417-012,100587734
大学城校区,417书库,417-020,100587742
大学城校区,417书库,417-028,100587750
大学城校区,417书库,417-036,100587758
大学城校区,417书库,417-044,100587766
大学城校区,417书库,417-052,100587774
大学城校区,417书库,417-060,100587782
大学城校区,417书库,417-005,100587727
大学城校区,417书库,417-013,100587735
大学城校区,417书库,417-021,100587743
大学城校区,417书库,417-029,100587751
大学城校区,417书库,417-037,100587759
大学城校区,417书库,417-045,100587767
大学城校区,417书库,417-053,100587775
大学城校区,417书库,417-006,100587728
大学城校区,417书库,417-014,100587736
大学城校区,417书库,417-022,100587744
大学城校区,417书库,417-030,100587752
大学城校区,417书库,417-038,100587760
大学城校区,417书库,417-046,100587768
大学城校区,417书库,417-054,100587776
大学城校区,417书库,417-007,100587729
大学城校区,417书库,417-015,100587737
大学城校区,417书库,417-023,100587745
大学城校区,417书库,417-031,100587753
大学城校区,417书库,417-039,100587761
大学城校区,417书库,417-047,100587769
大学城校区,417书库,417-055,100587777
