school,roomName,seatName,devSn
大学城校区,4楼南面走廊（A区）,4A-192,101268066
大学城校区,4楼南面走廊（A区）,4A-200,101268074
大学城校区,4楼南面走廊（A区）,4A-193,101268067
大学城校区,4楼南面走廊（A区）,4A-201,101268075
大学城校区,4楼南面走廊（A区）,4A-194,101268068
大学城校区,4楼南面走廊（A区）,4A-202,101268076
大学城校区,4楼南面走廊（A区）,4A-195,101268069
大学城校区,4楼南面走廊（A区）,4A-203,101268077
大学城校区,4楼南面走廊（A区）,4A-196,101268070
大学城校区,4楼南面走廊（A区）,4A-204,101268078
大学城校区,4楼南面走廊（A区）,4A-189,101268063
大学城校区,4楼南面走廊（A区）,4A-197,101268071
大学城校区,4楼南面走廊（A区）,4A-190,101268064
大学城校区,4楼南面走廊（A区）,4A-198,101268072
大学城校区,4楼南面走廊（A区）,4A-191,101268065
大学城校区,4楼南面走廊（A区）,4A-199,101268073
大学城校区,4楼南面走廊（A区）,4A-008,100587826
大学城校区,4楼南面走廊（A区）,4A-016,100587834
大学城校区,4楼南面走廊（A区）,4A-024,100587842
大学城校区,4楼南面走廊（A区）,4A-032,100587850
大学城校区,4楼南面走廊（A区）,4A-040,100587858
大学城校区,4楼南面走廊（A区）,4A-048,100587866
大学城校区,4楼南面走廊（A区）,4A-056,100587874
大学城校区,4楼南面走廊（A区）,4A-064,100588557
大学城校区,4楼南面走廊（A区）,4A-072,100588565
大学城校区,4楼南面走廊（A区）,4A-080,100588573
大学城校区,4楼南面走廊（A区）,4A-088,100588581
大学城校区,4楼南面走廊（A区）,4A-096,100588589
大学城校区,4楼南面走廊（A区）,4A-104,100588597
大学城校区,4楼南面走廊（A区）,4A-112,100588605
大学城校区,4楼南面走廊（A区）,4A-120,100588613
大学城校区,4楼南面走廊（A区）,4A-128,100588621
大学城校区,4楼南面走廊（A区）,4A-136,100588629
大学城校区,4楼南面走廊（A区）,4A-144,100588637
大学城校区,4楼南面走廊（A区）,4A-152,100588645
大学城校区,4楼南面走廊（A区）,4A-160,100588653
大学城校区,4楼南面走廊（A区）,4A-168,100588661
大学城校区,4楼南面走廊（A区）,4A-176,100588669
大学城校区,4楼南面走廊（A区）,4A-184,100588677
大学城校区,4楼南面走廊（A区）,4A-001,100587819
大学城校区,4楼南面走廊（A区）,4A-009,100587827
大学城校区,4楼南面走廊（A区）,4A-017,100587835
大学城校区,4楼南面走廊（A区）,4A-025,100587843
大学城校区,4楼南面走廊（A区）,4A-033,100587851
大学城校区,4楼南面走廊（A区）,4A-041,100587859
大学城校区,4楼南面走廊（A区）,4A-049,100587867
大学城校区,4楼南面走廊（A区）,4A-057,100587875
大学城校区,4楼南面走廊（A区）,4A-065,100588558
大学城校区,4楼南面走廊（A区）,4A-073,100588566
大学城校区,4楼南面走廊（A区）,4A-081,100588574
大学城校区,4楼南面走廊（A区）,4A-089,100588582
大学城校区,4楼南面走廊（A区）,4A-097,100588590
大学城校区,4楼南面走廊（A区）,4A-105,100588598
大学城校区,4楼南面走廊（A区）,4A-113,100588606
大学城校区,4楼南面走廊（A区）,4A-121,100588614
大学城校区,4楼南面走廊（A区）,4A-129,100588622
大学城校区,4楼南面走廊（A区）,4A-137,100588630
大学城校区,4楼南面走廊（A区）,4A-145,100588638
大学城校区,4楼南面走廊（A区）,4A-153,100588646
