school,roomName,seatName,devSn
大学城校区,501建筑设计书库,501-201,101268079
大学城校区,501建筑设计书库,501-202,101268080
大学城校区,501建筑设计书库,501-203,101268081
大学城校区,501建筑设计书库,501-204,101268082
大学城校区,501建筑设计书库,501-008,100587949
大学城校区,501建筑设计书库,501-016,100587957
大学城校区,501建筑设计书库,501-024,100587965
大学城校区,501建筑设计书库,501-032,100587973
大学城校区,501建筑设计书库,501-040,100587981
大学城校区,501建筑设计书库,501-048,100587989
大学城校区,501建筑设计书库,501-056,100587997
大学城校区,501建筑设计书库,501-064,100588005
大学城校区,501建筑设计书库,501-072,100588013
大学城校区,501建筑设计书库,501-080,100588021
大学城校区,501建筑设计书库,501-088,100588029
大学城校区,501建筑设计书库,501-096,100588037
大学城校区,501建筑设计书库,501-104,100588045
大学城校区,501建筑设计书库,501-112,100588053
大学城校区,501建筑设计书库,501-120,100588061
大学城校区,501建筑设计书库,501-128,100588069
大学城校区,501建筑设计书库,501-136,100588077
大学城校区,501建筑设计书库,501-144,100588085
大学城校区,501建筑设计书库,501-152,100588093
大学城校区,501建筑设计书库,501-160,100588101
大学城校区,501建筑设计书库,501-168,100588109
大学城校区,501建筑设计书库,501-176,100588117
大学城校区,501建筑设计书库,501-184,100588125
大学城校区,501建筑设计书库,501-192,100588133
大学城校区,501建筑设计书库,501-200,100588141
大学城校区,501建筑设计书库,501-A08,101266296
大学城校区,501建筑设计书库,501-A16,101266304
大学城校区,501建筑设计书库,501-A24,101266312
大学城校区,501建筑设计书库,501-001,100587942
大学城校区,501建筑设计书库,501-009,100587950
大学城校区,501建筑设计书库,501-017,100587958
大学城校区,501建筑设计书库,501-025,100587966
大学城校区,501建筑设计书库,501-033,100587974
大学城校区,501建筑设计书库,501-041,100587982
大学城校区,501建筑设计书库,501-049,100587990
大学城校区,501建筑设计书库,501-057,100587998
大学城校区,501建筑设计书库,501-065,100588006
大学城校区,501建筑设计书库,501-073,100588014
大学城校区,501建筑设计书库,501-081,100588022
大学城校区,501建筑设计书库,501-089,100588030
大学城校区,501建筑设计书库,501-097,100588038
大学城校区,501建筑设计书库,501-105,100588046
大学城校区,501建筑设计书库,501-113,100588054
大学城校区,501建筑设计书库,501-121,100588062
大学城校区,501建筑设计书库,501-129,100588070
大学城校区,501建筑设计书库,501-137,100588078
大学城校区,501建筑设计书库,501-145,100588086
大学城校区,501建筑设计书库,501-153,100588094
大学城校区,501建筑设计书库,501-161,100588102
大学城校区,501建筑设计书库,501-169,100588110
大学城校区,501建筑设计书库,501-177,100588118
大学城校区,501建筑设计书库,501-185,100588126
大学城校区,501建筑设计书库,501-193,100588134
大学城校区,501建筑设计书库,501-A01,101266289
大学城校区,501建筑设计书库,501-A09,101266297
大学城校区,501建筑设计书库,501-A17,101266305
大学城校区,501建筑设计书库,501-002,100587943
大学城校区,501建筑设计书库,501-010,100587951
大学城校区,501建筑设计书库,501-018,100587959
大学城校区,501建筑设计书库,501-026,100587967
大学城校区,501建筑设计书库,501-034,100587975
大学城校区,501建筑设计书库,501-042,100587983
大学城校区,501建筑设计书库,501-050,100587991
大学城校区,501建筑设计书库,501-058,100587999
大学城校区,501建筑设计书库,501-066,100588007
大学城校区,501建筑设计书库,501-074,100588015
大学城校区,501建筑设计书库,501-082,100588023
大学城校区,501建筑设计书库,501-090,100588031
大学城校区,501建筑设计书库,501-098,100588039
大学城校区,501建筑设计书库,501-106,100588047
大学城校区,501建筑设计书库,501-114,100588055
大学城校区,501建筑设计书库,501-122,100588063
大学城校区,501建筑设计书库,501-130,100588071
大学城校区,501建筑设计书库,501-138,100588079
大学城校区,501建筑设计书库,501-146,100588087
大学城校区,501建筑设计书库,501-154,100588095
大学城校区,501建筑设计书库,501-162,100588103
大学城校区,501建筑设计书库,501-170,100588111
大学城校区,501建筑设计书库,501-178,100588119
大学城校区,501建筑设计书库,501-186,100588127
大学城校区,501建筑设计书库,501-194,100588135
大学城校区,501建筑设计书库,501-A02,101266290
大学城校区,501建筑设计书库,501-A10,101266298
大学城校区,501建筑设计书库,501-A18,101266306
大学城校区,501建筑设计书库,501-003,100587944
大学城校区,501建筑设计书库,501-011,100587952
大学城校区,501建筑设计书库,501-019,100587960
大学城校区,501建筑设计书库,501-027,100587968
大学城校区,501建筑设计书库,501-035,100587976
大学城校区,501建筑设计书库,501-043,100587984
大学城校区,501建筑设计书库,501-051,100587992
大学城校区,501建筑设计书库,501-059,100588000
大学城校区,501建筑设计书库,501-067,100588008
大学城校区,501建筑设计书库,501-075,100588016
大学城校区,501建筑设计书库,501-083,100588024
大学城校区,501建筑设计书库,501-091,100588032
大学城校区,501建筑设计书库,501-099,100588040
大学城校区,501建筑设计书库,501-107,100588048
大学城校区,501建筑设计书库,501-115,100588056
大学城校区,501建筑设计书库,501-123,100588064
大学城校区,501建筑设计书库,501-131,100588072
大学城校区,501建筑设计书库,501-139,100588080
大学城校区,501建筑设计书库,501-147,100588088
大学城校区,501建筑设计书库,501-155,100588096
大学城校区,501建筑设计书库,501-163,100588104
大学城校区,501建筑设计书库,501-171,100588112
大学城校区,501建筑设计书库,501-179,100588120
大学城校区,501建筑设计书库,501-187,100588128
大学城校区,501建筑设计书库,501-195,100588136
大学城校区,501建筑设计书库,501-A03,101266291
大学城校区,501建筑设计书库,501-A11,101266299
大学城校区,501建筑设计书库,501-A19,101266307
大学城校区,501建筑设计书库,501-004,100587945
大学城校区,501建筑设计书库,501-012,100587953
大学城校区,501建筑设计书库,501-020,100587961
大学城校区,501建筑设计书库,501-028,100587969
大学城校区,501建筑设计书库,501-036,100587977
大学城校区,501建筑设计书库,501-044,100587985
大学城校区,501建筑设计书库,501-052,100587993
大学城校区,501建筑设计书库,501-060,100588001
大学城校区,501建筑设计书库,501-068,100588009
大学城校区,501建筑设计书库,501-076,100588017
大学城校区,501建筑设计书库,501-084,100588025
大学城校区,501建筑设计书库,501-092,100588033
大学城校区,501建筑设计书库,501-100,100588041
大学城校区,501建筑设计书库,501-108,100588049
大学城校区,501建筑设计书库,501-116,100588057
大学城校区,501建筑设计书库,501-124,100588065
大学城校区,501建筑设计书库,501-132,100588073
大学城校区,501建筑设计书库,501-140,100588081
大学城校区,501建筑设计书库,501-148,100588089
大学城校区,501建筑设计书库,501-156,100588097
大学城校区,501建筑设计书库,501-164,100588105
大学城校区,501建筑设计书库,501-172,100588113
大学城校区,501建筑设计书库,501-180,100588121
大学城校区,501建筑设计书库,501-188,100588129
大学城校区,501建筑设计书库,501-196,100588137
大学城校区,501建筑设计书库,501-A04,101266292
大学城校区,501建筑设计书库,501-A12,101266300
大学城校区,501建筑设计书库,501-A20,101266308
大学城校区,501建筑设计书库,501-005,100587946
大学城校区,501建筑设计书库,501-013,100587954
大学城校区,501建筑设计书库,501-021,100587962
大学城校区,501建筑设计书库,501-029,100587970
大学城校区,501建筑设计书库,501-037,100587978
大学城校区,501建筑设计书库,501-045,100587986
大学城校区,501建筑设计书库,501-053,100587994
大学城校区,501建筑设计书库,501-061,100588002
大学城校区,501建筑设计书库,501-069,100588010
大学城校区,501建筑设计书库,501-077,100588018
大学城校区,501建筑设计书库,501-085,100588026
大学城校区,501建筑设计书库,501-093,100588034
大学城校区,501建筑设计书库,501-101,100588042
大学城校区,501建筑设计书库,501-109,100588050
大学城校区,501建筑设计书库,501-117,100588058
