school,roomName,seatName,devSn
大学城校区,502外文书库,502-064,101268086
大学城校区,502外文书库,502-072,101268094
大学城校区,502外文书库,502-065,101268087
大学城校区,502外文书库,502-073,101268095
大学城校区,502外文书库,502-066,101268088
大学城校区,502外文书库,502-074,101268096
大学城校区,502外文书库,502-067,101268089
大学城校区,502外文书库,502-075,101268097
大学城校区,502外文书库,502-068,101268090
大学城校区,502外文书库,502-076,101268098
大学城校区,502外文书库,502-061,101268083
大学城校区,502外文书库,502-069,101268091
大学城校区,502外文书库,502-062,101268084
大学城校区,502外文书库,502-070,101268092
大学城校区,502外文书库,502-063,101268085
大学城校区,502外文书库,502-071,101268093
大学城校区,502外文书库,502-008,100588149
大学城校区,502外文书库,502-016,100588157
大学城校区,502外文书库,502-024,100588165
大学城校区,502外文书库,502-032,100588173
大学城校区,502外文书库,502-040,100588181
大学城校区,502外文书库,502-048,100588189
大学城校区,502外文书库,502-056,101266645
大学城校区,502外文书库,502-001,100588142
大学城校区,502外文书库,502-009,100588150
大学城校区,502外文书库,502-017,100588158
大学城校区,502外文书库,502-025,100588166
大学城校区,502外文书库,502-033,100588174
大学城校区,502外文书库,502-041,100588182
大学城校区,502外文书库,502-049,101266638
大学城校区,502外文书库,502-057,101266646
大学城校区,502外文书库,502-002,100588143
大学城校区,502外文书库,502-010,100588151
大学城校区,502外文书库,502-018,100588159
大学城校区,502外文书库,502-026,100588167
大学城校区,502外文书库,502-034,100588175
大学城校区,502外文书库,502-042,100588183
大学城校区,502外文书库,502-050,101266639
大学城校区,502外文书库,502-058,101266647
大学城校区,502外文书库,502-003,100588144
大学城校区,502外文书库,502-011,100588152
大学城校区,502外文书库,502-019,100588160
大学城校区,502外文书库,502-027,100588168
大学城校区,502外文书库,502-035,100588176
大学城校区,502外文书库,502-043,100588184
大学城校区,502外文书库,502-051,101266640
大学城校区,502外文书库,502-059,101266648
大学城校区,502外文书库,502-004,100588145
大学城校区,502外文书库,502-012,100588153
大学城校区,502外文书库,502-020,100588161
大学城校区,502外文书库,502-028,100588169
大学城校区,502外文书库,502-036,100588177
大学城校区,502外文书库,502-044,100588185
大学城校区,502外文书库,502-052,101266641
大学城校区,502外文书库,502-060,101266649
大学城校区,502外文书库,502-005,100588146
大学城校区,502外文书库,502-013,100588154
大学城校区,502外文书库,502-021,100588162
大学城校区,502外文书库,502-029,100588170
大学城校区,502外文书库,502-037,100588178
大学城校区,502外文书库,502-045,100588186
大学城校区,502外文书库,502-053,101266642
大学城校区,502外文书库,502-006,100588147
大学城校区,502外文书库,502-014,100588155
大学城校区,502外文书库,502-022,100588163
大学城校区,502外文书库,502-030,100588171
大学城校区,502外文书库,502-038,100588179
大学城校区,502外文书库,502-046,100588187
大学城校区,502外文书库,502-054,101266643
大学城校区,502外文书库,502-007,100588148
大学城校区,502外文书库,502-015,100588156
大学城校区,502外文书库,502-023,100588164
大学城校区,502外文书库,502-031,100588172
大学城校区,502外文书库,502-039,100588180
大学城校区,502外文书库,502-047,100588188
大学城校区,502外文书库,502-055,101266644
