school,roomName,seatName,devSn
大学城校区,511室工具港澳台廉政书库,511-064,101268102
大学城校区,511室工具港澳台廉政书库,511-061,101268099
大学城校区,511室工具港澳台廉政书库,511-062,101268100
大学城校区,511室工具港澳台廉政书库,511-063,101268101
大学城校区,511室工具港澳台廉政书库,511-008,100588213
大学城校区,511室工具港澳台廉政书库,511-016,100588221
大学城校区,511室工具港澳台廉政书库,511-024,100588229
大学城校区,511室工具港澳台廉政书库,511-032,100588237
大学城校区,511室工具港澳台廉政书库,511-040,100588245
大学城校区,511室工具港澳台廉政书库,511-048,100588253
大学城校区,511室工具港澳台廉政书库,511-056,100588261
大学城校区,511室工具港澳台廉政书库,511-A04,101266344
大学城校区,511室工具港澳台廉政书库,511-A12,101266352
大学城校区,511室工具港澳台廉政书库,511-A20,101266360
大学城校区,511室工具港澳台廉政书库,511-A28,101266368
大学城校区,511室工具港澳台廉政书库,511-A36,101266376
大学城校区,511室工具港澳台廉政书库,511-A44,101266384
大学城校区,511室工具港澳台廉政书库,511-A52,101266392
大学城校区,511室工具港澳台廉政书库,511-A60,101266400
大学城校区,511室工具港澳台廉政书库,511-B08,101266413
大学城校区,511室工具港澳台廉政书库,511-B16,101266421
大学城校区,511室工具港澳台廉政书库,511-B24,101266429
大学城校区,511室工具港澳台廉政书库,511-B32,101266437
大学城校区,511室工具港澳台廉政书库,511-B40,101266445
大学城校区,511室工具港澳台廉政书库,511-B48,101266453
大学城校区,511室工具港澳台廉政书库,511-B56,101266461
大学城校区,511室工具港澳台廉政书库,511-001,100588206
大学城校区,511室工具港澳台廉政书库,511-009,100588214
大学城校区,511室工具港澳台廉政书库,511-017,100588222
大学城校区,511室工具港澳台廉政书库,511-025,100588230
大学城校区,511室工具港澳台廉政书库,511-033,100588238
大学城校区,511室工具港澳台廉政书库,511-041,100588246
大学城校区,511室工具港澳台廉政书库,511-049,100588254
大学城校区,511室工具港澳台廉政书库,511-057,100588262
大学城校区,511室工具港澳台廉政书库,511-A05,101266345
大学城校区,511室工具港澳台廉政书库,511-A13,101266353
大学城校区,511室工具港澳台廉政书库,511-A21,101266361
大学城校区,511室工具港澳台廉政书库,511-A29,101266369
大学城校区,511室工具港澳台廉政书库,511-A37,101266377
大学城校区,511室工具港澳台廉政书库,511-A45,101266385
大学城校区,511室工具港澳台廉政书库,511-A53,101266393
大学城校区,511室工具港澳台廉政书库,511-B01,101266406
大学城校区,511室工具港澳台廉政书库,511-B09,101266414
大学城校区,511室工具港澳台廉政书库,511-B17,101266422
大学城校区,511室工具港澳台廉政书库,511-B25,101266430
大学城校区,511室工具港澳台廉政书库,511-B33,101266438
大学城校区,511室工具港澳台廉政书库,511-B41,101266446
大学城校区,511室工具港澳台廉政书库,511-B49,101266454
大学城校区,511室工具港澳台廉政书库,511-B57,101266462
大学城校区,511室工具港澳台廉政书库,511-002,100588207
大学城校区,511室工具港澳台廉政书库,511-010,100588215
大学城校区,511室工具港澳台廉政书库,511-018,100588223
大学城校区,511室工具港澳台廉政书库,511-026,100588231
大学城校区,511室工具港澳台廉政书库,511-034,100588239
大学城校区,511室工具港澳台廉政书库,511-042,100588247
大学城校区,511室工具港澳台廉政书库,511-050,100588255
大学城校区,511室工具港澳台廉政书库,511-058,100588263
大学城校区,511室工具港澳台廉政书库,511-A06,101266346
大学城校区,511室工具港澳台廉政书库,511-A14,101266354
大学城校区,511室工具港澳台廉政书库,511-A22,101266362
大学城校区,511室工具港澳台廉政书库,511-A30,101266370
大学城校区,511室工具港澳台廉政书库,511-A38,101266378
大学城校区,511室工具港澳台廉政书库,511-A46,101266386
大学城校区,511室工具港澳台廉政书库,511-A54,101266394
大学城校区,511室工具港澳台廉政书库,511-B02,101266407
大学城校区,511室工具港澳台廉政书库,511-B10,101266415
大学城校区,511室工具港澳台廉政书库,511-B18,101266423
大学城校区,511室工具港澳台廉政书库,511-B26,101266431
大学城校区,511室工具港澳台廉政书库,511-B34,101266439
大学城校区,511室工具港澳台廉政书库,511-B42,101266447
大学城校区,511室工具港澳台廉政书库,511-B50,101266455
大学城校区,511室工具港澳台廉政书库,511-B58,101266463
大学城校区,511室工具港澳台廉政书库,511-003,100588208
大学城校区,511室工具港澳台廉政书库,511-011,100588216
大学城校区,511室工具港澳台廉政书库,511-019,100588224
大学城校区,511室工具港澳台廉政书库,511-027,100588232
大学城校区,511室工具港澳台廉政书库,511-035,100588240
大学城校区,511室工具港澳台廉政书库,511-043,100588248
大学城校区,511室工具港澳台廉政书库,511-051,100588256
大学城校区,511室工具港澳台廉政书库,511-059,100588264
大学城校区,511室工具港澳台廉政书库,511-A07,101266347
大学城校区,511室工具港澳台廉政书库,511-A15,101266355
大学城校区,511室工具港澳台廉政书库,511-A23,101266363
大学城校区,511室工具港澳台廉政书库,511-A31,101266371
大学城校区,511室工具港澳台廉政书库,511-A39,101266379
大学城校区,511室工具港澳台廉政书库,511-A47,101266387
大学城校区,511室工具港澳台廉政书库,511-A55,101266395
大学城校区,511室工具港澳台廉政书库,511-B03,101266408
大学城校区,511室工具港澳台廉政书库,511-B11,101266416
大学城校区,511室工具港澳台廉政书库,511-B19,101266424
大学城校区,511室工具港澳台廉政书库,511-B27,101266432
大学城校区,511室工具港澳台廉政书库,511-B35,101266440
大学城校区,511室工具港澳台廉政书库,511-B43,101266448
大学城校区,511室工具港澳台廉政书库,511-B51,101266456
大学城校区,511室工具港澳台廉政书库,511-B59,101266464
大学城校区,511室工具港澳台廉政书库,511-004,100588209
大学城校区,511室工具港澳台廉政书库,511-012,100588217
大学城校区,511室工具港澳台廉政书库,511-020,100588225
大学城校区,511室工具港澳台廉政书库,511-028,100588233
大学城校区,511室工具港澳台廉政书库,511-036,100588241
大学城校区,511室工具港澳台廉政书库,511-044,100588249
大学城校区,511室工具港澳台廉政书库,511-052,100588257
大学城校区,511室工具港澳台廉政书库,511-060,100588265
大学城校区,511室工具港澳台廉政书库,511-A08,101266348
大学城校区,511室工具港澳台廉政书库,511-A16,101266356
大学城校区,511室工具港澳台廉政书库,511-A24,101266364
大学城校区,511室工具港澳台廉政书库,511-A32,101266372
大学城校区,511室工具港澳台廉政书库,511-A40,101266380
大学城校区,511室工具港澳台廉政书库,511-A48,101266388
大学城校区,511室工具港澳台廉政书库,511-A56,101266396
大学城校区,511室工具港澳台廉政书库,511-B04,101266409
大学城校区,511室工具港澳台廉政书库,511-B12,101266417
大学城校区,511室工具港澳台廉政书库,511-B20,101266425
大学城校区,511室工具港澳台廉政书库,511-B28,101266433
大学城校区,511室工具港澳台廉政书库,511-B36,101266441
大学城校区,511室工具港澳台廉政书库,511-B44,101266449
大学城校区,511室工具港澳台廉政书库,511-B52,101266457
大学城校区,511室工具港澳台廉政书库,511-B60,101266465
大学城校区,511室工具港澳台廉政书库,511-005,100588210
大学城校区,511室工具港澳台廉政书库,511-013,100588218
大学城校区,511室工具港澳台廉政书库,511-021,100588226
大学城校区,511室工具港澳台廉政书库,511-029,100588234
大学城校区,511室工具港澳台廉政书库,511-037,100588242
大学城校区,511室工具港澳台廉政书库,511-045,100588250
大学城校区,511室工具港澳台廉政书库,511-053,100588258
大学城校区,511室工具港澳台廉政书库,511-A01,101266341
大学城校区,511室工具港澳台廉政书库,511-A09,101266349
大学城校区,511室工具港澳台廉政书库,511-A17,101266357
大学城校区,511室工具港澳台廉政书库,511-A25,101266365
大学城校区,511室工具港澳台廉政书库,511-A33,101266373
大学城校区,511室工具港澳台廉政书库,511-A41,101266381
大学城校区,511室工具港澳台廉政书库,511-A49,101266389
大学城校区,511室工具港澳台廉政书库,511-A57,101266397
大学城校区,511室工具港澳台廉政书库,511-B05,101266410
大学城校区,511室工具港澳台廉政书库,511-B13,101266418
大学城校区,511室工具港澳台廉政书库,511-B21,101266426
大学城校区,511室工具港澳台廉政书库,511-B29,101266434
大学城校区,511室工具港澳台廉政书库,511-B37,101266442
大学城校区,511室工具港澳台廉政书库,511-B45,101266450
大学城校区,511室工具港澳台廉政书库,511-B53,101266458
大学城校区,511室工具港澳台廉政书库,511-006,100588211
大学城校区,511室工具港澳台廉政书库,511-014,100588219
大学城校区,511室工具港澳台廉政书库,511-022,100588227
大学城校区,511室工具港澳台廉政书库,511-030,100588235
大学城校区,511室工具港澳台廉政书库,511-038,100588243
大学城校区,511室工具港澳台廉政书库,511-046,100588251
大学城校区,511室工具港澳台廉政书库,511-054,100588259
大学城校区,511室工具港澳台廉政书库,511-A02,101266342
大学城校区,511室工具港澳台廉政书库,511-A10,101266350
大学城校区,511室工具港澳台廉政书库,511-A18,101266358
大学城校区,511室工具港澳台廉政书库,511-A26,101266366
大学城校区,511室工具港澳台廉政书库,511-A34,101266374
大学城校区,511室工具港澳台廉政书库,511-A42,101266382
大学城校区,511室工具港澳台廉政书库,511-A50,101266390
大学城校区,511室工具港澳台廉政书库,511-A58,101266398
大学城校区,511室工具港澳台廉政书库,511-B06,101266411
大学城校区,511室工具港澳台廉政书库,511-B14,101266419
大学城校区,511室工具港澳台廉政书库,511-B22,101266427
