school,roomName,seatName,devSn
桂花岗校区,桂花岗分馆二楼大堂,G2-008,101268355
桂花岗校区,桂花岗分馆二楼大堂,G2-016,101268363
桂花岗校区,桂花岗分馆二楼大堂,G2-024,101268371
桂花岗校区,桂花岗分馆二楼大堂,G2-001,101268348
桂花岗校区,桂花岗分馆二楼大堂,G2-009,101268356
桂花岗校区,桂花岗分馆二楼大堂,G2-017,101268364
桂花岗校区,桂花岗分馆二楼大堂,G2-025,101268372
桂花岗校区,桂花岗分馆二楼大堂,G2-002,101268349
桂花岗校区,桂花岗分馆二楼大堂,G2-010,101268357
桂花岗校区,桂花岗分馆二楼大堂,G2-018,101268365
桂花岗校区,桂花岗分馆二楼大堂,G2-026,101268373
桂花岗校区,桂花岗分馆二楼大堂,G2-003,101268350
桂花岗校区,桂花岗分馆二楼大堂,G2-011,101268358
桂花岗校区,桂花岗分馆二楼大堂,G2-019,101268366
桂花岗校区,桂花岗分馆二楼大堂,G2-027,101268374
桂花岗校区,桂花岗分馆二楼大堂,G2-004,101268351
桂花岗校区,桂花岗分馆二楼大堂,G2-012,101268359
桂花岗校区,桂花岗分馆二楼大堂,G2-020,101268367
桂花岗校区,桂花岗分馆二楼大堂,G2-028,101268375
桂花岗校区,桂花岗分馆二楼大堂,G2-005,101268352
桂花岗校区,桂花岗分馆二楼大堂,G2-013,101268360
桂花岗校区,桂花岗分馆二楼大堂,G2-021,101268368
桂花岗校区,桂花岗分馆二楼大堂,G2-029,101268376
桂花岗校区,桂花岗分馆二楼大堂,G2-006,101268353
桂花岗校区,桂花岗分馆二楼大堂,G2-014,101268361
桂花岗校区,桂花岗分馆二楼大堂,G2-022,101268369
桂花岗校区,桂花岗分馆二楼大堂,G2-030,101268377
桂花岗校区,桂花岗分馆二楼大堂,G2-007,101268354
桂花岗校区,桂花岗分馆二楼大堂,G2-015,101268362
桂花岗校区,桂花岗分馆二楼大堂,G2-023,101268370
