school,roomName,seatName,devSn
桂花岗校区,桂花岗分馆北108室,G108-001,101267538
桂花岗校区,桂花岗分馆北108室,G108-002,101267539
桂花岗校区,桂花岗分馆北108室,G108-003,101267540
桂花岗校区,桂花岗分馆北108室,G108-004,101267541
桂花岗校区,桂花岗分馆北108室,G108-005,101267542
桂花岗校区,桂花岗分馆北108室,G108-006,101267543
桂花岗校区,桂花岗分馆北108室,G108-007,101267544
桂花岗校区,桂花岗分馆北108室,G108-008,101267545
桂花岗校区,桂花岗分馆北108室,G108-009,101267546
桂花岗校区,桂花岗分馆北108室,G108-010,101267547
桂花岗校区,桂花岗分馆北108室,G108-011,101267548
桂花岗校区,桂花岗分馆北108室,G108-012,101267549
桂花岗校区,桂花岗分馆北108室,G108-013,101267550
桂花岗校区,桂花岗分馆北108室,G108-014,101267551
桂花岗校区,桂花岗分馆北108室,G108-015,101267552
桂花岗校区,桂花岗分馆北108室,G108-016,101267553
桂花岗校区,桂花岗分馆北108室,G108-017,101267554
桂花岗校区,桂花岗分馆北108室,G108-018,101267555
桂花岗校区,桂花岗分馆北108室,G108-019,101267556
桂花岗校区,桂花岗分馆北108室,G108-020,101267557
桂花岗校区,桂花岗分馆北108室,G108-021,101267558
桂花岗校区,桂花岗分馆北108室,G108-022,101267559
