school,roomName,seatName,devSn
大学城校区,琴房,M301-1,100646591
大学城校区,琴房,M301-2,100646592
大学城校区,琴房,M-009,100646446
大学城校区,琴房,M-022,100646459
大学城校区,琴房,M-031,100646468
大学城校区,琴房,M-046,100646483
大学城校区,琴房,M-057,100646494
大学城校区,琴房,M-001,100646438
大学城校区,琴房,M-010,100646447
大学城校区,琴房,M-023,100646460
大学城校区,琴房,M-039,100646476
大学城校区,琴房,M-047,100646484
大学城校区,琴房,M-058,100646495
大学城校区,琴房,M-002,100646439
大学城校区,琴房,M-011,100646448
大学城校区,琴房,M-025,100646462
大学城校区,琴房,M-040,100646477
大学城校区,琴房,M-048,100646485
大学城校区,琴房,M-059,100646496
大学城校区,琴房,M-003,100646440
大学城校区,琴房,M-012,100646449
大学城校区,琴房,M-026,100646463
大学城校区,琴房,M-041,100646478
大学城校区,琴房,M-050,100646487
大学城校区,琴房,M-065,100646502
大学城校区,琴房,M-004,100646441
大学城校区,琴房,M-013,100646450
大学城校区,琴房,M-027,100646464
大学城校区,琴房,M-042,100646479
大学城校区,琴房,M-053,100646490
大学城校区,琴房,M-069,100646506
大学城校区,琴房,M-005,100646442
大学城校区,琴房,M-014,100646451
大学城校区,琴房,M-028,100646465
大学城校区,琴房,M-043,100646480
大学城校区,琴房,M-054,100646491
大学城校区,琴房,M-006,100646443
大学城校区,琴房,M-015,100646452
大学城校区,琴房,M-029,100646466
大学城校区,琴房,M-044,100646481
大学城校区,琴房,M-055,100646492
大学城校区,琴房,M-008,100646445
大学城校区,琴房,M-020,100646457
大学城校区,琴房,M-030,100646467
大学城校区,琴房,M-045,100646482
大学城校区,琴房,M-056,100646493
